net,sta,seedchan,location,lat,lon,elev,samplerate,staname
"UW","NLO","EHZ","","46.08924","-123.45173","826",,"Nicolai Mt., Oregon"
"UW","GLDO","ENZ","","45.83878","-120.81479","610",,"Goldendale Observatory, WA, USA"
"UW","GLDO","EHZ","","45.83878","-120.81479","610",,"Goldendale Observatory, WA, USA"
"UW","GLDO","ENE","","45.83878","-120.81479","610",,"Goldendale Observatory, WA, USA"
"UW","GLDO","ENN","","45.83878","-120.81479","610",,"Goldendale Observatory, WA, USA"
"UW","QNWT","HNE","01","47.63694","-122.3944","71",,"W Newton St, Seattle, WA"
"UW","QNWT","HNN","01","47.63694","-122.3944","71",,"W Newton St, Seattle, WA"
"UW","NN19","EHE","01","43.7183","-121.30695","1793",,"Newberry borehole NN19"
"UW","NN19","EHN","01","43.7183","-121.30695","1793",,"Newberry borehole NN19"
"UW","NN19","EHZ","01","43.7183","-121.30695","1793",,"Newberry borehole NN19"
"UW","NN21","EHE","01","43.73317","-121.28988","1903",,"Newberry borehole NN21, OR, USA"
"UW","NN21","EHN","01","43.73317","-121.28988","1903",,"Newberry borehole NN21, OR, USA"
"UW","NN21","EHZ","01","43.73317","-121.28988","1903",,"Newberry borehole NN21, OR, USA"
"UW","QADA","HNE","01","47.6728","-122.38963","31",,"NW 61st St, Ballard, WA"
"UW","QADA","HNN","01","47.6728","-122.38963","31",,"NW 61st St, Ballard, WA"
"UW","QADA","HNZ","01","47.6728","-122.38963","31",,"NW 61st St, Ballard, WA"
"UW","QNWT","HNZ","01","47.63694","-122.3944","71",,"W Newton St, Seattle, WA"
"UW","OSD","EHZ","","47.81624","-123.70511","2008",,"Olympics - Snow Dome"
"UW","OSD","ENE","","47.81624","-123.70511","2008",,"Olympics - Snow Dome"
"UW","OSD","ENZ","","47.81624","-123.70511","2008",,"Olympics - Snow Dome"
"UW","OSD","ENN","","47.81624","-123.70511","2008",,"Olympics - Snow Dome"
"UW","UMAT","ENE","","45.2904","-118.9595","1318",,"Pilot Rock, OR, USA"
"UW","UMAT","ENN","","45.2904","-118.9595","1318",,"Pilot Rock, OR, USA"
"UW","UMAT","ENZ","","45.2904","-118.9595","1318",,"Pilot Rock, OR, USA"
"UW","UMAT","HHE","","45.2904","-118.9595","1318",,"Pilot Rock, OR, USA"
"UW","UMAT","HHN","","45.2904","-118.9595","1318",,"Pilot Rock, OR, USA"
"UW","UMAT","HHZ","","45.2904","-118.9595","1318",,"Pilot Rock, OR, USA"
"UW","STOR","ENE","","47.1881","-121.9888","266.4",,"Enumclaw, WA, USA"
"UW","STOR","ENN","","47.1881","-121.9888","266.4",,"Enumclaw, WA, USA"
"UW","STOR","ENZ","","47.1881","-121.9888","266.4",,"Enumclaw, WA, USA"
"UW","HOOD","BHE","","45.32226","-121.65093","1512",,"Mt Hood Meadows, OR CREST BB SMO"
"UW","HOOD","BHN","","45.32226","-121.65093","1512",,"Mt Hood Meadows, OR CREST BB SMO"
"UW","HOOD","BHZ","","45.32226","-121.65093","1512",,"Mt Hood Meadows, OR CREST BB SMO"
"UW","HOOD","ENE","","45.32226","-121.65093","1512",,"Mt Hood Meadows, OR CREST BB SMO"
"UW","HOOD","ENN","","45.32226","-121.65093","1512",,"Mt Hood Meadows, OR CREST BB SMO"
"UW","HOOD","ENZ","","45.32226","-121.65093","1512",,"Mt Hood Meadows, OR CREST BB SMO"
"UW","STOR","HHZ","","47.1881","-121.9888","266.4",,"Enumclaw, WA, USA"
"UW","STOR","HHN","","47.1881","-121.9888","266.4",,"Enumclaw, WA, USA"
"UW","STOR","HHE","","47.1881","-121.9888","266.4",,"Enumclaw, WA, USA"
"CN","WPB","EHZ","","49.6478","-123.2094","260",,"Watts Point, BC, CA"
"UW","ERW","HNE","","48.453827","-122.626121","387",,"Mt. Erie, WA, USA"
"UW","ERW","HNN","","48.453827","-122.626121","387",,"Mt. Erie, WA, USA"
"UW","ERW","HNZ","","48.453827","-122.626121","387",,"Mt. Erie, WA, USA"
"UW","FL2","EHZ","","46.19622","-122.35149","1378",,"Flat Top 2, WA, USA"
"UW","OT3","EHZ","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"UW","OT3","ENE","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"UW","OT3","ENN","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"UW","OT3","ENZ","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"UW","OT3","HHE","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"UW","OT3","HHN","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"UW","OT3","HHZ","","46.66886","-119.23413","322",,"New Othello (replaces OT2 8/26/94)"
"CC","PR01","BHE","","46.910112","-122.037569","648",,"Puyallup River 01"
"CC","PR01","BHN","","46.910112","-122.037569","648",,"Puyallup River 01"
"CC","PR01","BHZ","","46.910112","-122.037569","648",,"Puyallup River 01"
"UW","GNW","BHE","","47.56413","-122.82498","220",,"Green Mountain (BB) CREST SMO"
"UW","GNW","BHN","","47.56413","-122.82498","220",,"Green Mountain (BB) CREST SMO"
"UW","GNW","BHZ","","47.56413","-122.82498","220",,"Green Mountain (BB) CREST SMO"
"UW","GNW","ENE","","47.56413","-122.82498","220",,"Green Mountain (BB) CREST SMO"
"UW","GNW","ENN","","47.56413","-122.82498","220",,"Green Mountain (BB) CREST SMO"
"UW","GNW","ENZ","","47.56413","-122.82498","220",,"Green Mountain (BB) CREST SMO"
