net,sta,seedchan,location,lat,lon,elev,samplerate,staname
"UW","REED","HNN","","43.70128","-124.10751","5",,"Reedsport, OR, USA"
"UW","REED","HNZ","","43.70128","-124.10751","5",,"Reedsport, OR, USA"
"UW","REED","HNE","","43.70128","-124.10751","5",,"Reedsport, OR, USA"
"UW","SLA","HN1","00","47.58209","-122.33145","6",,"Seattle Liquefaction Array"
"UW","SLA","HN2","00","47.58209","-122.33145","6",,"Seattle Liquefaction Array"
"UO","DFAZ","ENE","","43.24055","-122.10925","1948",,"Toketee, OR, USA"
"UO","DFAZ","ENN","","43.24055","-122.10925","1948",,"Toketee, OR, USA"
"UO","DFAZ","ENZ","","43.24055","-122.10925","1948",,"Toketee, OR, USA"
"UO","KVCS","HNE","","44.69453","-123.43416","94",,"Kings Valley Charter School, Philomath, OR, USA"
"UO","KVCS","HNN","","44.69453","-123.43416","94",,"Kings Valley Charter School, Philomath, OR, USA"
